date,close,series
2018-11-06,25635.01,DJIA
2018-11-07,26180.3,DJIA
2018-11-08,26191.22,DJIA
2018-11-09,25989.3,DJIA
2018-11-12,25387.18,DJIA
2018-11-13,25286.49,DJIA
2018-11-14,25080.5,DJIA
2018-11-15,25289.27,DJIA
2018-11-16,25413.22,DJIA
2018-11-19,25017.44,DJIA
2018-11-20,24465.64,DJIA
2018-11-21,24464.69,DJIA
2018-11-22,,DJIA
2018-11-23,24285.95,DJIA
2018-11-26,24640.24,DJIA
2018-11-27,24748.73,DJIA
2018-11-28,25366.43,DJIA
2018-11-29,25338.84,DJIA
2018-11-30,25538.46,DJIA
2018-12-03,25826.43,DJIA
2018-12-04,25027.07,DJIA
2018-12-05,,DJIA
2018-12-06,24947.67,DJIA
2018-12-07,24388.95,DJIA
2018-12-10,24423.26,DJIA
2018-12-11,24370.24,DJIA
2018-12-12,24527.27,DJIA
2018-12-13,24597.38,DJIA
2018-12-14,24100.51,DJIA
2018-12-17,23592.98,DJIA
2018-12-18,23675.64,DJIA
2018-12-19,23323.66,DJIA
2018-12-20,22859.6,DJIA
